Metric,Species,Tissue,Comparison 1,Comparison 2,Number of paired individuals,Wilcoxon statistic,P-value,BH-adjusted P-value
A260/A230 ratio,Octopus,Skin,PowerFecal,PowerSoil,5,5,0.589638551626567,0.589638551626567
A260/A230 ratio,Octopus,Skin,PowerFecal,PureLink,5,2,0.1775298524121535,0.26629477861823025
A260/A230 ratio,Octopus,Skin,PowerSoil,PureLink,5,4,0.41849223344681974,0.5021906801361836
A260/A230 ratio,Octopus,Mantle,MasterPure,PowerFecal,5,15,0.059058229090536735,0.10564542920187692
A260/A230 ratio,Octopus,Mantle,MasterPure,PowerSoil,5,15,0.059058229090536735,0.10564542920187692
A260/A230 ratio,Octopus,Mantle,MasterPure,PureLink,5,15,0.059058229090536735,0.10564542920187692
A260/A230 ratio,Octopus,Mantle,PowerFecal,PowerSoil,5,0,0.10034824646229079,0.10564542920187692
A260/A230 ratio,Octopus,Mantle,PowerFecal,PureLink,5,1,0.10564542920187692,0.10564542920187692
A260/A230 ratio,Octopus,Mantle,PowerSoil,PureLink,5,1,0.10405923452892797,0.10564542920187692
A260/A230 ratio,Turbot,Skin,MasterPure,PowerFecal,5,15,0.059058229090536735,0.0885873436358051
A260/A230 ratio,Turbot,Skin,MasterPure,PowerSoil,5,15,0.059058229090536735,0.0885873436358051
A260/A230 ratio,Turbot,Skin,MasterPure,PureLink,5,15,0.059058229090536735,0.0885873436358051
A260/A230 ratio,Turbot,Skin,PowerFecal,PowerSoil,5,15,0.059058229090536735,0.0885873436358051
A260/A230 ratio,Turbot,Skin,PowerFecal,PureLink,5,5,1,1
A260/A230 ratio,Turbot,Skin,PowerSoil,PureLink,5,2,0.1775298524121535,0.2130358228945842
A260/A230 ratio,Turbot,Gut,MasterPure,PowerFecal,5,15,0.059058229090536735,0.059058229090536735
A260/A230 ratio,Turbot,Gut,MasterPure,PowerSoil,5,15,0.059058229090536735,0.059058229090536735
A260/A230 ratio,Turbot,Gut,MasterPure,PureLink,5,15,0.059058229090536735,0.059058229090536735
A260/A230 ratio,Turbot,Gut,PowerFecal,PowerSoil,5,0,0.059058229090536735,0.059058229090536735
A260/A230 ratio,Turbot,Gut,PowerFecal,PureLink,5,0,0.059058229090536735,0.059058229090536735
A260/A230 ratio,Turbot,Gut,PowerSoil,PureLink,5,0,0.059058229090536735,0.059058229090536735
Qubit DNA concentration,Octopus,Skin,MasterPure,PowerFecal,1,NA,NA,NA
Qubit DNA concentration,Octopus,Skin,MasterPure,PowerSoil,1,NA,NA,NA
Qubit DNA concentration,Octopus,Skin,MasterPure,PureLink,2,3,0.37109336952269756,0.37109336952269756
Qubit DNA concentration,Octopus,Skin,PowerFecal,PowerSoil,1,NA,NA,NA
Qubit DNA concentration,Octopus,Skin,PowerFecal,PureLink,1,NA,NA,NA
Qubit DNA concentration,Octopus,Skin,PowerSoil,PureLink,1,NA,NA,NA
Qubit DNA concentration,Octopus,Mantle,MasterPure,PowerFecal,2,3,0.37109336952269756,1
Qubit DNA concentration,Octopus,Mantle,MasterPure,PowerSoil,2,2,1,1
Qubit DNA concentration,Octopus,Mantle,MasterPure,PureLink,1,NA,NA,NA
Qubit DNA concentration,Octopus,Mantle,PowerFecal,PowerSoil,2,1,1,1
Qubit DNA concentration,Octopus,Mantle,PowerFecal,PureLink,1,NA,NA,NA
Qubit DNA concentration,Octopus,Mantle,PowerSoil,PureLink,1,NA,NA,NA
Qubit DNA concentration,Turbot,Skin,MasterPure,PowerFecal,1,NA,NA,NA
Qubit DNA concentration,Turbot,Skin,MasterPure,PowerSoil,1,NA,NA,NA
