Kit,Species,Tissue,Individual,n_swabbings,nanodrop_mean_ind,nanodrop_sd_ind,ratio_260_280_mean_ind,ratio_260_230_mean_ind,qubit_n_measured,qubit_n_out_of_range,qubit_n_missing,qubit_mean_ind
PureLink,Turbot,Skin,1,1,0.3,NA,0.77,-0.18,0,0,1,NA
PureLink,Turbot,Skin,2,1,0.6,NA,0.53,0.1,0,0,1,NA
PureLink,Turbot,Skin,3,1,6.1,NA,1.73,0.49,1,0,0,0.46
PureLink,Turbot,Skin,4,1,6.1,NA,2.03,0.52,0,0,1,NA
PureLink,Turbot,Skin,5,1,6.7,NA,1.5,0.42,1,0,0,0.33
PureLink,Turbot,Gut,1,1,5.8,NA,1.71,0.48,0,0,1,NA
PureLink,Turbot,Gut,2,1,9.3,NA,1.54,0.46,1,0,0,0.121
PureLink,Turbot,Gut,3,1,8.6,NA,1.88,0.6,0,0,1,NA
PureLink,Turbot,Gut,4,1,8.2,NA,1.85,0.58,1,0,0,0.289
PureLink,Turbot,Gut,5,1,7.3,NA,1.76,0.52,0,0,1,NA
